Place Name,Category,Rating,Address,About
The Museum of Egyptian Antiquities,Speciality Museums,4.5,"Midan El Tahrir Geographical Society Building, Cairo 11511 Egypt","This famous museum houses the world’s largest collection of ancient Egyption artifacts (more than 120,000 items on display) featuring the famous Tutankhamun collection with its beautiful gold death mask and sarcophagus and the royal Mummy room, which houses an additional eleven Pharaonic dignitaries."
Mosque of Muhammad Ali,Historic Sites,4.5,"Al Abageyah El Khalifa, Cairo 4252360 Egypt","Located in the Citadel, this mosque was built between 1824 and 1857 in the Ottoman style by Mohammad Ali Pasha, a ruler of Egypt."
Nile River,Bodies of Water,4.5,"1187 Nile Corniche, Boulaq Num.5, Bulaq, Cairo Governorate 4311001","Stretching for 4,187 miles, the longest river in the world flows from its major source, Lake Victoria in east central Africa, through Uganda, Sudan, Ethiopia and northwards into Egypt to the Mediterranean Sea."
Coptic Cairo,Neighborhoods,4.5,"Kom Ghorab, Old Cairo, Cairo Governorate","Once known as the Roman stronghold of Babylon, Cairo’s oldest section is the ancient heart of the Coptic Christian community featuring five original churches, the first mosque built in Egypt and the oldest synagogue, all representing three of the major world religions."
Khan Al-Khalili,Flea & Street Markets,4.0,"El-Gamaleya, El Gamaliya, Cairo Governorate 4331302","This vibrant open-air bazaar is a treasure trove of Egyptian culture, with bustling streets filled with local artisans and vendors. Here, you can pick up unique souvenirs like spices and perfumes, or simply soak up the local atmosphere. And don't forget to haggle for the best bargains. The best time to go is in the morning before the crowds arrive and the weather gets too hot. Take a break from the shopping and pay a visit to El-Fishawi Cafe, one of Cairo's oldest, for a cup of tea or coffee. To learn more about the bazaar's rich history, join a walking tour to discover fascinating stories and insights from a knowledgeable guide. – Tripadvisor"
"Hanging Church (El Muallaqa, Sitt Mariam, St Mary)",Architectural Buildings,4.5,"Shar'a Mari Girgis St., Cairo 11511 Egypt","This church, originally built in the ancient fortress of Babylon in Old Cairo around 4th century AD, derives its name from its location suspended above two Roman gate towers."
Islamic Cairo,Neighborhoods,4.5,"Midan Silah ad-Din, Cairo 11511 Egypt","After the Muslims conquered Egypt in 641 AD, they built their city, Al-Fustat, on what is now the southern border of modern Cairo. Today, this section of the city contains many important sites including the Mosque of Sultan Hassan, Mosque of al-Azhar and the Khan al-Khalili market, which is considered the heart of this area."
Cairo Citadel,Historic Sites,4.5,"Salah Salem St, Cairo 11511 Egypt","This massive stone fortress, built by Salah ad-Din in the 12th century, was crowned with the Mosque of Mohammed Ali 700 years later."
Mosque and Madrasa of Sultan Hassan,Historic Sites,4.5,"Maydan Salah al-Din, Cairo 11511 Egypt",Sultan Hassan started to built his mosque in 1356 and it took 7 years. Several tragedies occurred during construction eg. one of the minarets collapsed and buried 300 people under it. It’s a huge and magnificent building. I think the greatest parts of the mosque are the entrance gate and the well. It’s worth to visit.
Al-Azhar Park,Parks,4.5,"Salah Salem St Al Darassa Hill, Cairo 4294010 Egypt","This was a perfect escape from the madness of Cario, after the bazaar we needed a tea and sit down in the sunshine. We enjoyed it so much we stayed for dinner. There are two restaurants with very comfy seating and lovely views. The park is open till 10pm. Getting a taxi from outside was east as people are being dropped off all the time. What a wonderful space."
Cave Church,Churches & Cathedrals,4.5,"Mokattam, Cairo 11511 Egypt","Of all the things I saw in Cairo, including the pyramids, this was the best. Way up in the hills, away from the city, stands the majestic and highly unexpected place of worship. The church is truly beautiful and so unique with Bible verses etched into the rock in different areas. It's free to enter and a really peaceful place to visit."
Zamalek (Gezira Island),Neighborhoods,4.5,Zamalek,"This island is located in the Nile River between downtown Cairo and Giza, and is characterized by upscale hotels, restaurants and pleasant gardens."
Gayer-Anderson Museum (Bayt al-Kiritliya),Historic Sites,4.5,"4 Maydan Ibn Tulun Old Cairo, Cairo 11511 Egypt","This museum features the items of antiquity collected by John Gayer-Anderson, a British member of the Egyptian civil service in the 1930s and ‘40s, who restored two adjacent 16th- and 17th-century houses decorated with mashrabiyya screens and marble inlays."
Al-Azhar Mosque,Religious Sites,4.5,"Mohammed Abdou El-Darb El-Ahmar, Cairo 11511 Egypt","The oldest university in the world is built around this ancient mosque, which has been the center of Islamic scholarship since 975 AD."
Mosque of Ibn Tulun,Historic Sites,4.5,"Ahmed Ibn Tolon Sq. Tolon, El Sayeda Zeinab, Cairo 11511 Egypt","This is considered one of Egypt's largest and oldest mosques, which was built between AD 876 and AD 879 by an Abbasid governor sent from Baghdad to rule over Egypt."
City Stars Mall,Shopping Malls,4.5,"Omar Ibn El Khattab St. Masaken Al Mohandesin, Cairo 11511 Egypt","Very spacious and huge Mall located in Nasr City consists of two phases. Guiding maps display screens are available everywhere inside the Mall. In addition to counters where staff can help you in person. There are various affordable and expensive brands as well as all diffident kind of restaurants and cafes. Kids areas and park are located in phases 1 and 2. Strollers are also available for rent. There are laundry, tailors shops and many other public services such as car license renewals, personal ID issuance, notarization office, post office, etc.. Parking is available under the mall with affordable fees. During Ramadan, Christmas and New Year seasons, beautiful decors are established."
Sharia Al Mu'izz Li-Din Allah,Points of Interest & Landmarks,4.5,"Al Moez Ldin Allah Al Fatmi, Cairo 11511 Egypt",Cairo's main street which recently became pedestrian only is filled with historic sites.
Church of St. Sergius and Bacchus,Churches & Cathedrals,4.5,"Mari Gerges, Kom Ghorab, Cairo 11511 Egypt","We walked down to this popular old church, which probably is from 5th century. According to a legend, the holy family fleeing from Herod hid here in the cave (now it’s the cript). It’s a pity the cript can’t be visited, but the church is nice."
National Museum of Egyptian Civilization NEMC,History Museums,4.5,"Al Fustat Street Ain Al Sira, Cairo 17611 Egypt","This is a new museum, thoughtfully arranged chronologically to give one a good understanding of Egypt’s history. See the upper level first — it goes through 4000 years of Egyptian history — then proceed down to the mummies display (which is fascinating). Otherwise one emerges from the mummies at a rather random location on the upper level — and it’s confusing to figure out where to start. Go here before the Egyptian Museum because it provides a better explanation of Egyptian history. Once you have that basic background, the Egyptian Museum — which is somewhat disorganized — makes a bit more sense. Fridays  extended hours 6-9 pm, less busy than normal."
Coptic Orthodox Church of St. George (Mari Girgis),Religious Sites,4.5,"Nearby Roman Fortress Old (Coptic) Cairo, Cairo 11511 Egypt","Originally built in 684 AD by the wealthy scribe Athanasius, this religious site is known for its beautiful Qaa el-Arsan (wedding chamber) that dates from the 4th century."
Manial Palace Museum,History Museums,4.5,"1 Saray Street Manyal, Cairo 11511 Egypt","Built by Prince Mohamed Ali (1875-1955), between 1901 and 1929, this palace complex houses six structures including a hunting museum belonging to the late King Farouk, the prince’s residence and furnishings and a beautiful garden."
Al Rifai Mosque,Religious Sites,4.5,"El-Refaey, El-Darb El-Ahmar, El Khalifa, Cairo Governorate 4292008", El-Darb El-Ahmar
The Coptic Museum,Art Museums,4.5,"No 4 Fakhry Abd el Nour street Abbassia, Cairo 11511 Egypt","Housing some of the finest collections of Coptic art dating back to Egypt’s Christian era, this museum includes collections of ancient ankhs and Horus-like falcons, stone carvings from the era of the Mamluks, a 6th-century Coptic stone pulpit and the 1,600-year-old Coptic book of the Psalms of David."
Museum of Islamic Arts,Art Museums,4.5,"Shar'a Bur Bab El Khalk Square, Cairo 11511 Egypt","Terrible wheelchair access, high curbs , stairs, no information as to where to go, ramps but only after 3 or 4 stairs.. absolutely awful.. needed to be lifted up stairs , lift by stairs obliviously older than some of the exhibits.. staff helpful but expected a tip for doing so .. Cairo is a very polluted, dirty, downtrodden place. Very very noisy, congested and filthy.. no idea of wheelchair access apart from 45 degree ramps .. The museum itself was very interesting but unless you were accompanied by a few others it’s impossible to get in .. like the majority of the other museums in Egypt as well.."
Cairo Tower,Observation Decks & Towers,4.0,"El-Andalus, Cairo 11511 Egypt","At a height of 600 feet, this tower offers magnificent views of the entire city and monuments from its revolving rooftop restaurant and bar."
Cairo Festival City Mall,Shopping Malls,4.5,"Nasr City, Cairo Governorate 4730020",The place is so good and it has everything that everyone need in their day or hangout. The Only Problem in this place in going there in weekends as always the security is rude and they may not let you enter the mall with no reason. The Mall is not good for many people as it has low capacity in comparison with other malls in Egypt (Also Made By Al Fatim)
Heliopolis,Neighborhoods,4.5,Heliopolis,"I love living in Heliopolis , walking the streets after midnight is so calming and break-taken and it’s even better driving"
Street of the Tentmakers (Sharia Khayamiya),Flea & Street Markets,5.0,"Islamic Cairo, Cairo 11511 Egypt",We both loved this - like stepping back in time to what you could imagine old markets to be like - amazing handcrafted items made by local artisans. We couldn't resist and had to buy an extra suitcase to take everything home - even a tent!!
Mall of Arabia Cairo,Shopping Malls,4.5,"Mehwer 26th July,6th of October City Juhaynah Square, Cairo 11511 Egypt",Mall of Arabia is Egypt's Biggest Mall in terms of space and number of stores
Synagogue Ben Ezra,Historic Sites,4.0,"Kom Ghorab 264J+7CV, Cairo 11511 Egypt",The oldest existing synagogue in Cairo was originally a church in the 8th century.
Abdeen Palace Museum,History Museums,4.0,"Moustafa Abdel Raziq Street off Abdeen Square, Cairo 11511 Egypt","Formerly serving as a royal palace until the end of the monarchy in 1952, this history museum features a large collection of weapons and medals including knives, guns, cannons and an exhibit of medals."
Wekalet El Ghouri Arts Center,Convention Centers,4.5,"3 Mohamed Abdo St Muhammad 'Abduh Street, Cairo 11511 Egypt","Is a old islamic school, that now is used for shows. We went there to see the Tannoura dance. We arrived more than one hour in advance because we didn't know how it worked. Office ticket opens at 6.30pm and the show starts one hour later. You cannot reserve, there are seats, but it is first come first served. Price 90 egyptian pounds ( for foreigners)  You can go on your own, it is not necessary to hire a tour. Very unique and nice experience of local traditional dance and music."
Mosque of Amr Ibn Al-As,Religious Sites,4.5,"الكفور ميدان جامع, Sidey Hassan Al Anwar, Old Cairo, Cairo Governorate",When we were on a G Adventures tour of Egypt we stopped in to this mosque to look around. It is a spectacular space.
Baron Palace,Points of Interest & Landmarks,4.5,"El-Orouba Street Heliopolis, Cairo 11511 Egypt","Good place to visit if in the area. The Baron Empain help build Heliopolis, so the history described is very interesting. Also built the first tram lines and more. Nice views from the roof, nice sculptures in the gardens. Unless you're into urban planning or are staying in city Nasr or close by, it’s a nice place to visit, but spending more hours at the Egyptian museum near Tahrir sqaure is probably better."
Mamluk Jewellery and Bazaar,Speciality & Gift Shops,4.5,"Nasr Awad off, Salah Salem St, Old Cairo, Cairo Governorate","An Egyptian antique and jewellery shop that contains wide range of localy hand made Egyptian products that ranges from high replicas of Ancient Egyptian satues to gold, diamond and silver jewelleries and precious stones. Products are for both ancient egyptian art as well as islamic and arabic arts. You can visit us and watch your jewellery being made on the spot at our factory."
St Simon the Tanner Monastery,Churches & Cathedrals,4.5,"Mokattam Hills, Cairo 11511 Egypt",
